channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
닥터벨 DRBELL,UCdIdgmrsh3h40jvxDDbSu5Q,axque4BsA48,25-34,가장 싸고 가장 쉬운 다이어트 방법 💦,2026-03-18T11:58:13Z,PT1M19S,79,thumbnails/닥터벨DRBELL/axque4BsA48.jpg,https://i.ytimg.com/vi/axque4BsA48/maxresdefault.jpg,https://www.youtube.com/watch?v=axque4BsA48,True,duration,,,True
닥터벨 DRBELL,UCdIdgmrsh3h40jvxDDbSu5Q,nYo0PYk7CeM,25-34,살이 덜 찌는 몸 만드는 비밀 (장 속 유익균) 💡,2026-03-17T10:07:52Z,PT1M22S,82,thumbnails/닥터벨DRBELL/nYo0PYk7CeM.jpg,https://i.ytimg.com/vi/nYo0PYk7CeM/maxresdefault.jpg,https://www.youtube.com/watch?v=nYo0PYk7CeM,True,duration,,,True
제이제이살롱드핏,UCUsfRCHj5U1wAJEJiQpPLPw,TC6U2DuKS7I,25-34,버터떡 스포일러🍞🥖🥐 #제이제이살롱드핏,2026-03-19T06:35:44Z,PT23S,23,thumbnails/제이제이살롱드핏/TC6U2DuKS7I.jpg,https://i.ytimg.com/vi/TC6U2DuKS7I/maxresdefault.jpg,https://www.youtube.com/watch?v=TC6U2DuKS7I,True,duration,,,True
제이제이살롱드핏,UCUsfRCHj5U1wAJEJiQpPLPw,N0BtCFBv_B0,25-34,상체점수 테스트 4단계🔥,2026-03-11T02:39:03Z,PT44S,44,thumbnails/제이제이살롱드핏/N0BtCFBv_B0.jpg,https://i.ytimg.com/vi/N0BtCFBv_B0/maxresdefault.jpg,https://www.youtube.com/watch?v=N0BtCFBv_B0,True,duration,,,True
제이제이살롱드핏,UCUsfRCHj5U1wAJEJiQpPLPw,7sw8DrV5sk4,25-34,위고비 등장이후 망한다던 헬스업계의 반전?,2026-02-23T07:22:02Z,PT1M29S,89,thumbnails/제이제이살롱드핏/7sw8DrV5sk4.jpg,https://i.ytimg.com/vi/7sw8DrV5sk4/maxresdefault.jpg,https://www.youtube.com/watch?v=7sw8DrV5sk4,True,duration,,,True
키다리형,UChWJavW1PbvAkPTcB06EeIg,-6FS6iHF0SE,25-34,헬스장에서 절대 할 필요없는 운동,2026-03-23T06:38:53Z,PT1M37S,97,thumbnails/키다리형/-6FS6iHF0SE.jpg,https://i.ytimg.com/vi/-6FS6iHF0SE/maxresdefault.jpg,https://www.youtube.com/watch?v=-6FS6iHF0SE,True,duration,,,True
FitBurst,UC00-W8j2qHJy83ONqoaM5xQ,lkVe27Ja4Mw,25-34,🔸4 Simple Triceps Exercises | Dumbbell Routine You Can Do Anytime🔥 #gymtips #fitnesstips #fitness,2026-03-23T12:01:15Z,PT58S,58,thumbnails/FitBurst/lkVe27Ja4Mw.jpg,https://i.ytimg.com/vi/lkVe27Ja4Mw/maxresdefault.jpg,https://www.youtube.com/watch?v=lkVe27Ja4Mw,True,duration,,,True
FitBurst,UC00-W8j2qHJy83ONqoaM5xQ,l-Tfs0AIQvs,25-34,🔸6 Easy Seated Shoulder Exercises  Dumbbell Routine for Full Delts #gymtips #shoulder #fitnesstips,2026-03-22T12:01:09Z,PT1M,60,thumbnails/FitBurst/l-Tfs0AIQvs.jpg,https://i.ytimg.com/vi/l-Tfs0AIQvs/maxresdefault.jpg,https://www.youtube.com/watch?v=l-Tfs0AIQvs,True,duration,,,True
FitBurst,UC00-W8j2qHJy83ONqoaM5xQ,GRlDbPDlYVE,25-34,🔸5 Best Barbell Back Variations🔥 #gymtips #fitnesstips #fitnessshorts,2026-03-21T12:00:22Z,PT1M,60,thumbnails/FitBurst/GRlDbPDlYVE.jpg,https://i.ytimg.com/vi/GRlDbPDlYVE/maxresdefault.jpg,https://www.youtube.com/watch?v=GRlDbPDlYVE,True,duration,,,True
FitBurst,UC00-W8j2qHJy83ONqoaM5xQ,08jFpRaSSpo,25-34,🔸4 Best Barbell Chest Exercises | Grip Variations for Full Chest Development🔥 #chest #chestday,2026-03-20T12:00:02Z,PT59S,59,thumbnails/FitBurst/08jFpRaSSpo.jpg,https://i.ytimg.com/vi/08jFpRaSSpo/maxresdefault.jpg,https://www.youtube.com/watch?v=08jFpRaSSpo,True,duration,,,True
