video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
FkCV3Z6WFm0,디어다빈_영양사의 다이어트,여러분 제발 잠 좀 주무세요...,PT1M11S,71,duration,https://www.youtube.com/watch?v=FkCV3Z6WFm0,thumbnails/디어다빈_영양사의다이어트/FkCV3Z6WFm0.jpg,,
MSjC3w41byU,디어다빈_영양사의 다이어트,살 빠지는데 피부까지 좋아지는 초간단 아침 습관,PT1M20S,80,duration,https://www.youtube.com/watch?v=MSjC3w41byU,thumbnails/디어다빈_영양사의다이어트/MSjC3w41byU.jpg,,
RGwJ3dyrI0s,한입건강,스마일라식을 피해야 하는 경우는?,PT30S,30,duration,https://www.youtube.com/watch?v=RGwJ3dyrI0s,thumbnails/한입건강/RGwJ3dyrI0s.jpg,,
9sTC3aAK974,한입건강,내 눈은 스마일라식 받을 수 있는 눈일까?,PT46S,46,duration,https://www.youtube.com/watch?v=9sTC3aAK974,thumbnails/한입건강/9sTC3aAK974.jpg,,
8xl37Eu8ktQ,한입건강,잠이 안 올 때 술을 마시면 안되는 이유,PT53S,53,duration,https://www.youtube.com/watch?v=8xl37Eu8ktQ,thumbnails/한입건강/8xl37Eu8ktQ.jpg,,
YoADJmKuY9g,한입건강,잠을 못자는 상태 = 맹수에게 쫓기는 상황(?),PT28S,28,duration,https://www.youtube.com/watch?v=YoADJmKuY9g,thumbnails/한입건강/YoADJmKuY9g.jpg,,
V--PXC4x8lo,한입건강,8시간 수면의 배신? 연령에 따른 적정 수면시간은?,PT20S,20,duration,https://www.youtube.com/watch?v=V--PXC4x8lo,thumbnails/한입건강/V--PXC4x8lo.jpg,,
WnPyjyx9VOk,재활의학과탑팀,반지야 보조기야? 굽히면 저절로 펴지는 '마법의 문어반지(Octo-Flex)'의 정체!  #문어반지 #OctoFlex #탑팀재활 #박정욱원장 #메디컬쥬얼리 #백조목변형 #버튼홀변형,PT9M17S,557,keyword,https://www.youtube.com/watch?v=WnPyjyx9VOk,thumbnails/재활의학과탑팀/WnPyjyx9VOk.jpg,,
Gr80bEUaSE4,재활의학과탑팀,#낙도행전  고흥군 시산도 쇼츠영상  #탑팀재활의학과  #박정욱원장,PT1M8S,68,duration,https://www.youtube.com/watch?v=Gr80bEUaSE4,thumbnails/재활의학과탑팀/Gr80bEUaSE4.jpg,,
0Iokxc4zQfg,재활의학과탑팀,손가락 관절염 반지 주문방법 디지픽스 반지 #박정욱원장  #탑팀재활의학과 #관절염반지 #손가락관절염,PT1M7S,67,duration,https://www.youtube.com/watch?v=0Iokxc4zQfg,thumbnails/재활의학과탑팀/0Iokxc4zQfg.jpg,,
XZc0-N6Ejkw,재활의학과탑팀,손가락 관절염의 새 희망! 기능성 손가락 쥬얼리 DG-Fix ring 제품 라인 소개!! #박정욱원장 #탑팀재활의학과 #디지픽스,PT1M34S,94,duration,https://www.youtube.com/watch?v=XZc0-N6Ejkw,thumbnails/재활의학과탑팀/XZc0-N6Ejkw.jpg,,
YO4qomBG1fg,SOOD_Edward Park,교정 중이라면 이것만은!,PT1M10S,70,duration,https://www.youtube.com/watch?v=YO4qomBG1fg,thumbnails/SOOD_EdwardPark/YO4qomBG1fg.jpg,,
tBOk73_86ec,SOOD_Edward Park,철사가 찔려요?,PT41S,41,duration,https://www.youtube.com/watch?v=tBOk73_86ec,thumbnails/SOOD_EdwardPark/tBOk73_86ec.jpg,,
