channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,rEjxV16SEck,65+,"60대 봄 여행, 여기 5곳만 가세요 #shorts",2026-03-18T12:27:11Z,PT35S,35,thumbnails/시니어시니어/rEjxV16SEck.jpg,https://i.ytimg.com/vi/rEjxV16SEck/maxresdefault.jpg,https://www.youtube.com/watch?v=rEjxV16SEck,True,duration|keyword,,,True
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,krvt8yfNu-Y,65+,"기차 타고 내리면 매화밭, 한옥 마당엔 수선화… 국내에 이런 곳이 있었습니다",2026-03-16T05:35:47Z,PT20M25S,1225,thumbnails/시니어시니어/krvt8yfNu-Y.jpg,https://i.ytimg.com/vi/krvt8yfNu-Y/maxresdefault.jpg,https://www.youtube.com/watch?v=krvt8yfNu-Y,False,,,,False
시니어시니어!,UCHhtRT2BHQvgIuxpuKiSLkw,MFNvLD4UU_E,65+,100만원으로 해외여행 5곳 가능합니다 #shorts,2026-03-13T11:19:59Z,PT32S,32,thumbnails/시니어시니어/MFNvLD4UU_E.jpg,https://i.ytimg.com/vi/MFNvLD4UU_E/maxresdefault.jpg,https://www.youtube.com/watch?v=MFNvLD4UU_E,True,duration|keyword,,,True
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,C6E0dOKsvSs,65+,“모두 잘못 알고 있습니다” 아침에 물 한 컵 박테리아를 마시는 것과 같다! 물 건강하게 마시는 방법. 최악의 물 마시는 습관 5가지! 아침공복 물 한잔. 건강 정보. 건강 음식.,2026-03-17T09:04:12Z,P0D,,thumbnails/건강지식TV/C6E0dOKsvSs.jpg,https://i.ytimg.com/vi/C6E0dOKsvSs/maxresdefault_live.jpg,https://www.youtube.com/watch?v=C6E0dOKsvSs,False,,,,False
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,vMxYEgF51nY,65+,달래와 함께 먹으면 보약되는 음식 4가지와 꿀팁 레시피! '이렇게' 먹으면 몸속 염증 싹 사라지고 혈관보약 됩니다. 항암 음식. 치매에 좋은 음식. 보양 음식. 당뇨 음식.,2026-03-23T01:09:52Z,PT11H55M1S,42901,thumbnails/건강지식TV/vMxYEgF51nY.jpg,https://i.ytimg.com/vi/vMxYEgF51nY/maxresdefault.jpg,https://www.youtube.com/watch?v=vMxYEgF51nY,False,,,,False
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,ch5tdiYH4_Q,65+,바나나를 매일 먹으면 사라지는 질병 5가지 #건강정보 #건강 #바나바 #건강음식 #다이어트,2026-03-22T21:00:39Z,PT1M6S,66,thumbnails/건강지식TV/ch5tdiYH4_Q.jpg,https://i.ytimg.com/vi/ch5tdiYH4_Q/maxresdefault.jpg,https://www.youtube.com/watch?v=ch5tdiYH4_Q,True,duration|keyword,,,True
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,FQAP7ZqNHK8,65+,"잔병 없이 건강했던 사람도 날벼락!! “매일 먹는 음식, 암 위험에 영향을 줄 수 있어요! 건강 정보 공개”  #건강정보 #건강 #당뇨 #췌장암",2026-03-22T03:17:12Z,PT11H55M,42900,thumbnails/건강지식TV/FQAP7ZqNHK8.jpg,https://i.ytimg.com/vi/FQAP7ZqNHK8/maxresdefault.jpg,https://www.youtube.com/watch?v=FQAP7ZqNHK8,False,,,,False
건강지식TV,UCzDs6GlAZsYlGbd_OUBdjmA,5Mnb_Hfjkk0,65+,깻잎 '이것'과 함께 먹으면 당뇨 사라지고 골다공증 걱정 없습니다! 치매와 혈당 건강에 좋은 특급 레시피와 함께 먹으면 보약되는 음식. 건강효과 높여 먹는 방법. 천연 항암제.,2026-03-21T02:05:47Z,PT11H55M1S,42901,thumbnails/건강지식TV/5Mnb_Hfjkk0.jpg,https://i.ytimg.com/vi/5Mnb_Hfjkk0/maxresdefault.jpg,https://www.youtube.com/watch?v=5Mnb_Hfjkk0,False,,,,False
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,KICNuB7uAyE,65+,지금 부엌에 있는 설탕보다 10배 치명적인 것들 | 모르고 드시면 치매·당뇨 동시에 옵니다,2026-03-22T00:30:16Z,PT24M10S,1450,thumbnails/백세친구/KICNuB7uAyE.jpg,https://i.ytimg.com/vi/KICNuB7uAyE/maxresdefault.jpg,https://www.youtube.com/watch?v=KICNuB7uAyE,False,,,,False
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,cm8j-wX7QoU,65+,막걸리 그냥 버리셨나요? 검버섯·쥐젖·주름 한 번에 지우는 방법 있습니다,2026-03-19T00:30:41Z,PT23M55S,1435,thumbnails/백세친구/cm8j-wX7QoU.jpg,https://i.ytimg.com/vi/cm8j-wX7QoU/maxresdefault.jpg,https://www.youtube.com/watch?v=cm8j-wX7QoU,False,,,,False
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,h6mzRVDFfZE,65+,어르신들 10명 중 9명이 매일 드시는 겁니다 | 듣고 나서 냉장고부터 열어봤습니다,2026-03-17T00:30:42Z,PT24M29S,1469,thumbnails/백세친구/h6mzRVDFfZE.jpg,https://i.ytimg.com/vi/h6mzRVDFfZE/hqdefault.jpg,https://www.youtube.com/watch?v=h6mzRVDFfZE,False,,,,False
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,H7ifyytAWCw,65+,"발뒤꿈치 안 드는 60대, 병원 신세 지기 싫다면 꼭 보세요",2026-03-15T00:30:16Z,PT22M49S,1369,thumbnails/백세친구/H7ifyytAWCw.jpg,https://i.ytimg.com/vi/H7ifyytAWCw/maxresdefault.jpg,https://www.youtube.com/watch?v=H7ifyytAWCw,False,,,,False
백세친구,UC9IdV7zIlIXm8UXU2JH7pSg,x2f9JsXxUQc,65+,"이것'과 양배추를 같이 드신 날, 신장은 하루치 수명을 잃습니다. 60대라면 오늘 반드시 끊어야 할 것 3가지",2026-03-12T00:31:01Z,PT25M55S,1555,thumbnails/백세친구/x2f9JsXxUQc.jpg,https://i.ytimg.com/vi/x2f9JsXxUQc/maxresdefault.jpg,https://www.youtube.com/watch?v=x2f9JsXxUQc,False,,,,False
