channel_name,channel_id,target_age
잠백이,UCT69ogfZc8Io6NiBFwCOZPw,small
빅마우스TV,UCbMHdUkgLjutpY5tQYP40dw,medium
메디맵,UC_IZTQQ7ScSP9oKbrDb3pMw,small
더끌림산부인과,UCYPiwyWGi-jbkpBAyQnYZSw,medium
지혜건강소,UCYw0_UhBmb_zpu6BxXN8D1A,medium
민이네다육,UCpvPF7Nm6dpEmi4WE4j72kQ,small
안과언니,UCP7OU6koPGdRgk7mCMv5dOQ,medium
건강박사,UC2-gb53qXD1LgyRq0K36l8A,medium
시니어생활수첩,UCupLKcszhhKwxF4rOcnlWYw,small
암알지TV방송,UCzr7QSvnOZ4yPG9GK-8_tUQ,small
퀴즈의 제왕,UCAfJcM064jZBOSdqnNI73xw,small
에너지힐링 Energy Healing,UC2qcq4kqvbbdHIoi5dEm-Eg,medium
이지약사tv,UCCMFTDGarjgZLc1DlIbbvRg,small
용닥터,UCaeONHcrE9ie2ZPdGVv-Yyg,medium
종부원리 Jongboo principle,UC7DmHPJiGzVxOYJt0qy7sUw,small
한국보훈복지의료공단,UCzU1v5rL8paTs1herRUgOTg,small
나근사설,UCFIWQ9OqK7FxawPFZEVnQog,medium
지혜와성실,UCqUqYA4BKYcLFonQaUjNULQ,small
건희로운날들,UCl6FnZ-V6QJ0Amuwjydmvxg,medium
초딩입맛자덕,UCg5uly-aCRfD6N7UgaOV3PQ,medium
SOOD_ Edward Park,UCEcL8vvX2V0z2nM8oXQVIeQ,small
힐링트리뮤직 Healing Tree Music & Sounds,UC1RG7m8FwFKgB3IpfN3ccew,large
제우스남성의원 원장 이석영,UCPULZ1uKpIlx0228uMNFOEA,small
일동제약 그룹,UCptOgDFSSKYm-bHl7ijd8Lw,small
신경과전문의 박재현,UCFhliquzU-5I83gMrb-HIVw,medium
"김경철의 웰케어: 잘먹고, 잘자기",UC-4yGit6ge_bXpyTqkCBxhA,small
다시 시작하는 재활(Restart Rehabilitation) ,UCVtnpN5cwtuYF-1EP72SsPw,small
오상신경외과의원,UCBe0N2MoWhVKHKEoYPl8XvQ,large
강하나 스트레칭_stretching,UCxHcczukcG21up2MBe8yP_Q,large
요리하는다이어터,UCUsoowBBnGAmhl0XBaFuQWA,large
근성장훈련소 MuscleCamp,UCO32LLnrAUlLuT-0KP4aP3A,small
Curistory,UCVSWDPRFLZZfvNG-KKk3LHQ,small
우주기,UCMpTteg2C4jYAhoSzFeEtZA,medium
하나이비인후과병원,UCCOty33v-EPEnShT3975ZyA,small
비앤빛TV,UCHIH-Fu_7HLjE3SHkirGlig,small
서울대학교병원 강남센터,UC7b852QbNlkegn8GdSkYWZw,medium
이재성 박사의 식탁보감,UCUIDRva6N0c3I10d9QOqefw,large
김주환의 내면소통,UCYNnQhFGE-EP0HrWRxMGUaw,large
채널당뇨왕,UCfTj5cD0quVuTpodSZUF73A,small
Yeji Psychology,UCVtmrt8prEpmjpy6Y7xSwGg,small
이음여성한의원 김우성 원장,UC-6BfHzSG1_ZfcQZn5PeoMg,medium
노트성형외과,UC2OIyb2serotqDyEzQYyCtA,small
Elsa-log,UC2Kxg0lVzKB2-N7tXAVQhrw,small
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,medium
두부다비 Dubu-Dabi,UC0yB3f_3UxzoCf-X36KhQ9Q,small
산개,UC1aqaZ-BRf5bjZzXs3enCvg,small
Practical Pain Management with Dr. Lee,UC1vLAG4_4x45e4BtXBZoIWg,small
"촛불배정규, 재은심리상담센터",UC6O_TSHwRzE8WdjsOC5jfJw,small
쉬운건강 (구 안지현TV) Health,UC3afH7DW6Pb4wEHdlNlOKQw,small
권원장 근육관리 [치유가],UCDjkAMGMzaYqmDuQUTD-vbQ,medium
찐한의사,UCQt6bki_yeKaMS4hLm6YWlA,medium
리틀약사,UC3iSLVH0MxHfwO69oHKpvog,large
JJ Linedance제이제이,UCeWNThqBvZOJi69eZkos2fQ,small
박민선 원장의 콩팥튜브,UCTRZZvftT1IuVyry1V9E1-A,small
이학민의 가슴 따뜻한 이야기,UCUnV1FVWY3u92tEYGqy17qA,large
클레어채 ClaireChai,UCsv1hWoDQNBkTnAJOQacXbw,medium
건강되찾기 프로젝트 | EMS 근력PT,UCX-xku_pieGjA-PAxP02BIA,large
치아살리기 최용훈원장,UC4kdPomQaD-9gz0NynY_ddw,small
