channel_name,channel_id,target_age
산개,UC1aqaZ-BRf5bjZzXs3enCvg,health
Practical Pain Management with Dr. Lee,UC1vLAG4_4x45e4BtXBZoIWg,health
"촛불배정규, 재은심리상담센터",UC6O_TSHwRzE8WdjsOC5jfJw,health
쉬운건강 (구 안지현TV) Health,UC3afH7DW6Pb4wEHdlNlOKQw,health
권원장 근육관리 [치유가],UCDjkAMGMzaYqmDuQUTD-vbQ,health
찐한의사,UCQt6bki_yeKaMS4hLm6YWlA,health
리틀약사,UC3iSLVH0MxHfwO69oHKpvog,health
JJ Linedance제이제이,UCeWNThqBvZOJi69eZkos2fQ,health
박민선 원장의 콩팥튜브,UCTRZZvftT1IuVyry1V9E1-A,health
이학민의 가슴 따뜻한 이야기,UCUnV1FVWY3u92tEYGqy17qA,health
클레어채 ClaireChai,UCsv1hWoDQNBkTnAJOQacXbw,health
건강되찾기 프로젝트 | EMS 근력PT,UCX-xku_pieGjA-PAxP02BIA,health
치아살리기 최용훈원장,UC4kdPomQaD-9gz0NynY_ddw,health
척추관절 바른TV-연세바른병원,UCWk_4bcnHBfO4V2syOOgo5g,health
카이안과,UCZ76XVvVdIMLuoMmgilklzQ,health
상쾌한의사 김성찬 ,UC9bhIPpJZFJhMh7e7BP7l9w,health
시니어건강회관2,UC34-Orqw21kiUkwR-v3scaw,health
ADHD 대표채널,UCi3bGxt2tQoGaTH2Wmbh81w,health
피지컬에셋,UCKgnUtkVL8o9U2h3451sBVA,health
멘탈탄탄 | 정신과의사의 멘탈 관리 채널 ,UCsZTB_r7ffbXIcnZmav2AFg,health
여의사의 산부인과 이야기.,UC-jDMqzWRJj16_HHyi4OX1Q,health
물리치료사.PT재석,UCsyhk1jx2eeafzMSYhQc9Mg,health
아침동산,UCuZQ7lJnqe-LBCVjy9OYBKw,health
Tempo:rest,UCSBBghDcPUpWl7ietzdL6EA,health
Relax Gently,UCHLxiySp_bOSL0TsUcPV0Iw,health
남녀의학연구소,UC9Bb-XcWooi5yVCng46xaZg,health
힐링루미나 Healing Lumina,UCY-OANuBvks2lBMgAfZgh6g,health
뇌가 편안해지는 시간,UC28xZyNPM9109MTC-QZ9etA,health
지혜백세,UCi3H9NCIKQ4IzcLBTGyD_1w,health
든든라디오,UC6dzCW8IGCSpRRP9lpBn_Ag,health
하루 당뇨식사,UCZqZNpYCBkjS3b59YW27BkA,health
1분팁,UCH4Recm0sHhd3bEc_r54YmA,health
Key Meditation,UCfulSi1BlEu5wETySe-EiHQ,health
내과전문의 닥터케이 Dr.K,UC9p63MYZE5nUKmr2RS0fNwA,health
Likesweetmango - Beautiful & Powerful Life,UC4Z0SLdvRc7s6oVO0ZpuQgw,health
시니어 지혜,UCZbGKOabnuCDGgfNlKqxm0g,health
한국인의 건강,UCgXALihpISmnxe7FDptwvlw,health
백세의 비밀,UCNtfFNmmBnjypX-XnDHeSjw,health
연세재활운동센터,UCdThhoXBOMyTLbaKz-tFgSQ,health
박서희 정신과의사,UCfW5yhlUy-DeU5tPym8xDNQ,health
박경숙 원장의 온통보감,UCKCLI9BYUThLn6MY23haVjA,health
백세건강채널,UCyb1ZjcHhqZm4_XDMAFB4Hw,health
건강박사의 장수노트,UCNvZm2nE9jzGmJwHC7ZnjpQ,health
근거중심이약사,UC_1FUQM1JpDniNWHP_7ua1A,health
키다리형,UChWJavW1PbvAkPTcB06EeIg,health
국민건강보험,UC7tsTpx4Ra-oJrjIb9ItBUA,health
당뇨TV#,UCXfilB-iiwh3jlew8eVzKRg,health
시니어빵빵,UCzgS8oh8QTjVwMbIPg4DKsQ,health
SNPE TV,UCyXuz3cs51oRt5i56MUQ7ow,health
지혜로운 당신 TV,UC2WzpFRsIJcN1drQdIbczQw,health
JUNGDAYEON,UCUyTqfwiT2sRpjxbfPyQF7g,health
YJ Care Clinic,UCRY4kdkYSPtsy6to4FEAaog,health
천약사의건강과 약이야기,UC4KS40p1OWvyA5kRNroC4Bg,health
네츄럴보디빌딩학과,UCHQj5T2MD6vD4K6Zc3We6pg,health
이상구박사의 뉴스타트강의,UCcf-zuaFCeROvAATf5UI0uA,health
인생이시트콤_고구마 VLOG,UCHYv07UtJkjSu3qDoo2he_Q,health
모멘트핏 록코치,UChku6cgDNkiIQWlyi1TgA8g,health
우리들병원TV,UC2ATsiBGQuX_ON58mu3utWw,health
اعمال يدويه وافكار حلوه كتير,UCAQFDZGmQQeZS4_2q5GZR9Q,health
약사남편,UCfrI61io4dNFArWf8DGOaDw,health
 건강한tv,UCtqwpBL2jE66ZpcWylbv08w,health
실버라디오_노후건강_시니어정보_노후지혜,UC7YpVJjhPta4sJcvGUutM_g,health
보담티비,UC66diRcDsDtXqFffHD3zcVQ,health
정형외과  전문의  선지호,UC6vLOP7CPkAdfA9qD9ViqiA,health
동아쏘시오그룹,UCjvjF9hnjwXUgig5EZxADyQ,health
Dentiumworld,UCvKSX42Fxb9t48Td8neg4YA,health
