Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
한국파크골프TV,https://vling.net/channel/UCq67Op7QA1CKnT0vZ3Rg1Bg,UCq67Op7QA1CKnT0vZ3Rg1Bg,13900,352
봄날의풍경🌸,https://vling.net/channel/UCqW6T6EET_RwXOUEWnNfsUQ,UCqW6T6EET_RwXOUEWnNfsUQ,17000,956
광마니,https://vling.net/channel/UCysVk8dzvSydsFklSu96HSg,UCysVk8dzvSydsFklSu96HSg,801000,85486
요리슈 YORISHU,https://vling.net/channel/UCj8F8AXFrS0jpXWVkamylcA,UCj8F8AXFrS0jpXWVkamylcA,10600,732
King Food 킹푸드,https://vling.net/channel/UCNmcTEOEOW89YtxIPQG9qFg,UCNmcTEOEOW89YtxIPQG9qFg,1640000,66220
자영업자스토리,https://vling.net/channel/UCyUJvPTlR-pklwT0APpFIhA,UCyUJvPTlR-pklwT0APpFIhA,154000,24290
부천방송,https://vling.net/channel/UCOJtgNii4TaufnoA-01LmAA,UCOJtgNii4TaufnoA-01LmAA,13600,93
표은지Eunji Pyoapple,https://vling.net/channel/UC9K0rLE1SMh86nVxzkCBpNA,UC9K0rLE1SMh86nVxzkCBpNA,2000000,107347
INSOO & MAYU,https://vling.net/channel/UCzWD3TAXin3uyQPXlN3MVbw,UCzWD3TAXin3uyQPXlN3MVbw,17700,1526
볼매여사tv,https://vling.net/channel/UCh9CAn408GQhFx1d9Alydbg,UCh9CAn408GQhFx1d9Alydbg,16000,1365
Sangchil Korean food cooking,https://vling.net/channel/UCuLV0-SpvSA_fd60D8sX8jA,UCuLV0-SpvSA_fd60D8sX8jA,11300,3781
웍제이,https://vling.net/channel/UCNfRPuwW-hBNjZQc2tb9e3g,UCNfRPuwW-hBNjZQc2tb9e3g,74800,7254
핫세[HotTube's Diary],https://vling.net/channel/UCT8SRDYYHwV4RwotrU00A0A,UCT8SRDYYHwV4RwotrU00A0A,62600,1859
