channel_name,channel_id,subscribers,avg_daily_views
경희의료원,UCSPd120sfHaijEkMmDNVdKQ,28000,5039
동영박사,UCXPiqdKeaCd1K82ZGg3ccVw,23900,3797
책도리TV,UCbaXu_mTn6ya_pabSkx7xxw,507000,8137
닥터 정직왕,UCK7EFcwENTp8vu42PVdRXGQ,11600,6570
"맞춤주치의, 닥터JM",UCnytxIobBmUuWf1kf8GiX4g,13100,38135
행복한의사 김정훈의 건강이야기,UCaPfNqobWHUC9fQTD1MShdg,67100,1793
연세신통TV,UCDp34bAXaJbo7PT1igMMQKg,298000,11534
잠백이,UCT69ogfZc8Io6NiBFwCOZPw,49800,7001
빅마우스TV,UCbMHdUkgLjutpY5tQYP40dw,96000,113749
메디맵,UC_IZTQQ7ScSP9oKbrDb3pMw,13100,517
더끌림산부인과,UCYPiwyWGi-jbkpBAyQnYZSw,123000,11542
지혜건강소,UCYw0_UhBmb_zpu6BxXN8D1A,53200,230
민이네다육,UCpvPF7Nm6dpEmi4WE4j72kQ,11500,3285
안과언니,UCP7OU6koPGdRgk7mCMv5dOQ,68700,13848
건강박사,UC2-gb53qXD1LgyRq0K36l8A,178000,70144
JM WORKOUT : KIM JUNG MIN 김정민,UCYajbktFJOUlNeu2cIfGxGw,17900,342
현실의 코덱스,UC0Ajz54XeAYdF8MlKLkIJqQ,11700,5643
시니어생활수첩,UCupLKcszhhKwxF4rOcnlWYw,36600,1338
제일리핏케어,UCf_rpPJVcXa9xJ32s7Q4UEQ,27500,42969
Master Healer 성영주,UCx9owdsdbalU0ejMN0jDbkg,14000,3449
암알지TV방송,UCzr7QSvnOZ4yPG9GK-8_tUQ,24100,2912
퀴즈의 제왕,UCAfJcM064jZBOSdqnNI73xw,13100,10431
Healing Studio,UCbSfuDSl9YPBjubukvchZfQ,38500,7937
에너지힐링 Energy Healing,UC2qcq4kqvbbdHIoi5dEm-Eg,79900,23147
이지약사tv,UCCMFTDGarjgZLc1DlIbbvRg,15100,3440
용닥터,UCaeONHcrE9ie2ZPdGVv-Yyg,176000,13351
종부원리 Jongboo principle,UC7DmHPJiGzVxOYJt0qy7sUw,49800,15509
한국보훈복지의료공단,UCzU1v5rL8paTs1herRUgOTg,19200,5073
에너지힐링 Energy Healing,UC2qcq4kqvbbdHIoi5dEm-Eg,79900,23147
이지약사tv,UCCMFTDGarjgZLc1DlIbbvRg,15100,3440
용닥터,UCaeONHcrE9ie2ZPdGVv-Yyg,176000,13351
종부원리 Jongboo principle,UC7DmHPJiGzVxOYJt0qy7sUw,49800,15509
한국보훈복지의료공단,UCzU1v5rL8paTs1herRUgOTg,19200,5073
나근사설,UCFIWQ9OqK7FxawPFZEVnQog,55800,48
지혜와성실,UCqUqYA4BKYcLFonQaUjNULQ,32700,291
건희로운날들,UCl6FnZ-V6QJ0Amuwjydmvxg,168000,225
