title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
HIU English 하이유 잉글리시 ,https://www.youtube.com/channel/UCMpuf80FwKLHrELwDXqZH4w,3330000,1666339,49.0,50.0,6.673407482305358,25.379170879676444,33.26592517694641,21.435793731041457,9.201213346814965,2.62891809908999,1.4155712841253791
BeenCook,https://www.youtube.com/channel/UC_n7iH6SWHPEdtYVtKyzCZA,11800,1665291,27.0,72.0,,,,,,,
푸라닭 치킨,https://www.youtube.com/channel/UCBAcaVKKuH-nVmY0rpeQaMA,3630,1648673,41.0,58.0,3.7988228999464955,15.676832530765115,34.77795612627073,22.097378277153556,17.442482611021937,4.975922953451044,1.230604601391118
아침밥 차려주는 남편 YoriHoney,https://www.youtube.com/channel/UC0kWYJDvhh4bmcnafXn8tgw,421000,1642279,54.0,45.0,4.912836767036449,19.968304278922343,35.02377179080824,21.50026413100898,15.213946117274169,2.4300052826201792,0.9508716323296356
좋아혜죠,https://www.youtube.com/channel/UC-RlQ0Fivomamd5wIj-vOdA,259000,1640960,68.0,31.0,1.7991004497751126,20.98950524737631,39.48025987006497,20.689655172413794,13.44327836081959,2.2488755622188905,1.3493253373313343
설기양SULGI,https://www.youtube.com/channel/UCIafb9ExBkh4WsCOagZssZA,16300000,1610331,64.0,35.0,3.7037037037037033,15.359477124183007,34.150326797385624,24.40087145969499,14.814814814814817,4.302832244008715,3.2679738562091507
맛집남자 foodman,https://www.youtube.com/channel/UCeEd6KA0gOX63vIEvsQDS0Q,489000,1610036,26.200000000000003,73.7,3.5,12.5,31.5,23.700000000000003,19.5,6.800000000000001,2.4
예능 맛집,https://www.youtube.com/channel/UC6jS7thtGE9VXkqFumYYOmg,8960,1607175,25.0,74.0,4.02755696873344,19.607843137254903,34.711181770005304,20.98569157392687,16.216216216216218,3.4446210916799154,1.00688924218336
Belt man,https://www.youtube.com/channel/UC-8aJbga4hEDOdFPqnH2vAQ,334000,1578391,61.0,38.0,8.16976127320955,8.43501326259947,14.588859416445626,40.424403183023884,22.917771883289127,2.705570291777189,2.758620689655173
햄숏,https://www.youtube.com/channel/UC4Qd6YqA1slSltXRavnNtYw,42100,1516791,40.0,59.0,4.686704024452369,18.492103922567498,35.35404992358635,20.835455934793682,15.486500254712174,4.12633723892002,1.0188487009679064
Moon Can Cook,https://www.youtube.com/channel/UCYw6QncDdcK60u8X6bOofvw,87000,1486992,57.0,42.0,4.619826756496632,21.366698748796924,33.49374398460058,22.23291626564004,13.570741097208858,3.6573628488931664,1.0587102983638115
해운대 공구왕 송사장,https://www.youtube.com/channel/UCcMccIhql4cvOmulNROnGjw,8960,1451743,51.0,48.0,0.6084070796460178,5.1991150442477885,17.80973451327434,21.183628318584073,23.56194690265487,21.349557522123895,10.287610619469028
리뷰하는 회사원,https://www.youtube.com/channel/UCGtY9qyrQqqPlkNqAwccjNQ,577000,1443752,30.0,69.0,4.361210877373011,19.343252950230887,37.19856336582863,20.933812211390453,14.366341713699333,2.8219599794766546,0.9748589020010261
말랑이랑 with a malang,https://www.youtube.com/channel/UC73TQ6-uoMkmpdJuwE6A2CA,1710000,1442018,59.0,40.0,6.207966890843249,11.174340403517848,15.571650284531815,41.69684428349715,20.382824624935335,2.534919813760993,2.431453698913606
셰프 안성재 Chef Sung Anh,https://www.youtube.com/channel/UCZffS3HZmQz18zuCWStcfSA,1250000,1439236,34.0,65.0,,,,,,,
프링글스,https://www.youtube.com/channel/UCAHX7YtgZytSj4F0_dISBiA,4770,1385819,51.0,48.0,1.9648397104446744,15.718717683557395,32.57497414684592,25.0258531540848,19.027921406411583,4.343329886246123,1.3443640124095142
HIU 하이유,https://www.youtube.com/channel/UCw-QmownJwilhTje10TYlIg,6430000,1380497,47.90000000000001,52.1,4.2,13.5,44.300000000000004,27.1,7.0,2.4,1.5
믿어유백,https://www.youtube.com/channel/UCwJcZJWMcZt0CnS2rvUyepA,5370,1349788,30.0,70.0,,,,,,,
어쿠스틱 드링크,https://www.youtube.com/channel/UC1FZ59NCoUOpveg6nP6Dm-A,686000,1346053,9.0,90.0,4.766786263454638,20.502306509482317,38.134290107637106,20.29728344438749,12.967708867247563,2.511532547411584,0.8200922603792926
롯데칠성 주류,https://www.youtube.com/channel/UCo5Hc6G6XosKePM7wnswtww,41300,1335129,20.0,79.0,4.756871035940804,21.141649048625798,34.513742071881616,20.930232558139537,14.112050739957718,3.276955602536999,1.2684989429175482
Lonely Jar,https://www.youtube.com/channel/UCFHVQ7Flgv6YazqtMFmikFA,33300,1329973,56.0,43.0,,,,,,,
쉐프에이든 - Foodie Aiden ,https://www.youtube.com/channel/UCZMQuYC5xKyB-O4QPTXVUqQ,88600,1319082,67.0,32.0,5.700586041555674,18.9664358018114,32.338838572189665,22.322855620671284,16.302610548748,2.5572722429408627,1.8114011720831114
Ruslan U,https://www.youtube.com/channel/UCluvEOV12BFag7oe86WKYUw,878000,1297235,64.0,35.0,5.342741935483872,20.866935483870968,35.28225806451613,21.774193548387096,9.979838709677418,3.5282258064516125,3.225806451612903
k_table,https://www.youtube.com/channel/UCNW7kUwhpfjqZEG8I5cFe4A,1480000,1288993,50.0,49.0,0.1639344262295082,1.6939890710382512,8.852459016393443,17.26775956284153,28.087431693989068,29.23497267759563,14.699453551912567
잔망루피 ZANMANG LOOPY,https://www.youtube.com/channel/UChIgH6NybaNC_mkp4-gbX3A,2330000,1252763,63.0,36.0,1.9502353732347006,7.464694014794889,23.53732347007397,36.38197713517148,21.519838601210488,4.572965702757228,4.572965702757229
밥피티 bop pt,https://www.youtube.com/channel/UCnRUf8vKY2L9uOwqsqz-wlA,380000,1240254,65.0,34.0,,,,,,,
푸디야미 Foodie Yummy,https://www.youtube.com/channel/UC00XB1jcgrKKzYZQFAmIJtw,77500,1222737,36.0,63.0,2.5933609958506225,12.759336099585065,26.919087136929466,24.636929460580916,17.73858921161826,10.477178423236515,4.875518672199171
Meow Nhi Nhi,https://www.youtube.com/channel/UCjTMa2nKR4g5IMj1hkDtUXg,40900,1220523,25.0,74.0,2.430555555555556,9.49074074074074,34.95370370370371,31.597222222222225,12.962962962962962,5.902777777777778,2.662037037037037
빙그레(Binggrae),https://www.youtube.com/channel/UCOmz8eDBQ04h6i0_8p_V7eg,143000,1137540,33.0,66.0,2.9752066115702487,16.198347107438018,33.002754820936644,21.818181818181824,16.473829201101932,6.72176308539945,2.809917355371901
PicoGuy,https://www.youtube.com/channel/UC0Gz9Cl_-slfa9G3BkzUHrA,52600,1132069,38.900000000000006,60.99999999999999,3.9000000000000004,11.7,43.699999999999996,28.400000000000002,8.1,2.4000000000000004,1.7000000000000002
드라마연구소,https://www.youtube.com/channel/UC5elralGhcon20Yku0_4__g,131000,1129498,,,3.5,18.5,27.7,20.0,17.8,8.3,3.8
현오 HyunO,https://www.youtube.com/channel/UCOMhpJThG8Ma8yQpTpf-kGA,854000,1123112,62.0,37.0,6.673618352450469,9.74973931178311,13.660062565172057,42.909280500521376,21.74139728884255,2.606882168925965,2.659019812304484
얼굴제조기(facemakemachine),https://www.youtube.com/channel/UCoFkNpNA-j1VD0-y3HOW-CQ,1020000,1119580,24.0,75.0,8.061002178649238,15.468409586056644,20.479302832244006,29.411764705882348,21.45969498910675,2.6688453159041394,2.4509803921568625
킹따봉,https://www.youtube.com/channel/UCybXLOs8u9ECEq6FcACBUPg,191000,1115754,42.0,57.0,6.091894682498709,6.195147134744451,13.83582860092927,45.84408879710893,22.457408363448632,2.8394424367578734,2.7361899845121327
지현쿡,https://www.youtube.com/channel/UCorDTEhfHgqX-lTA1n9OGkw,178000,1103476,78.0,21.0,5.833333333333332,20.36458333333333,33.541666666666664,21.562499999999996,15.0,2.4999999999999996,1.1979166666666665
쏘영 Ssoyoung,https://www.youtube.com/channel/UC4PpFUrfT2Pou7OwpVF0MUQ,12300000,1089118,50.0,49.0,0.8556759840273817,7.187678265830007,22.646891043924704,22.418710781517397,21.391899600684543,16.1437535653166,9.355390758699372
랭킹닭컴,https://www.youtube.com/channel/UCySFJDeqTq_kXz7D-WyH4RA,3550,1075113,32.5,67.5,0.30000000000000004,2.4000000000000004,27.2,21.6,36.099999999999994,5.3,7.1
문복희 Eat with Boki,https://www.youtube.com/channel/UCoLQZ4ZClFqVPCvvjuiUSRA,10900000,1064216,60.0,39.0,4.675324675324675,20.1038961038961,31.792207792207787,20.207792207792206,15.220779220779217,5.974025974025973,2.0259740259740253
나오는대로 리뷰,https://www.youtube.com/channel/UCPPy71r5PbqqiXNSg1gHJgg,106000,1028332,54.0,45.0,5.945036455412227,13.180033651149747,19.62983735277622,33.763320246775095,21.53673583847448,3.140773976444195,2.8042624789680315
1분요리왕 통키,https://www.youtube.com/channel/UC-T8S0Vs2lvVXSkQv2qUStw,614000,1028149,74.0,25.0,0.8452192287374538,1.109350237717908,7.501320655044902,10.882197569994718,20.17960908610671,31.590068674062334,27.89223454833597
영국남자 Korean Englishman,https://www.youtube.com/channel/UCg-p3lQIqmhh7gHpyaOmOiQ,6170000,1010815,34.0,65.0,6.139438085327784,21.22788761706556,29.03225806451613,21.800208116545267,13.215400624349636,5.202913631633716,3.3818938605619153
퐁신당 Marshmallow,https://www.youtube.com/channel/UCqXj83yRPn75UMC3m_BApOQ,37800,1010173,52.0,47.0,5.656460819927347,6.279190451478985,14.737934613388687,45.563051375194604,22.26258432797094,2.8022833419823563,2.698495070057084
젼언니 jeon_unni,https://www.youtube.com/channel/UCyar0OYt0LoPzkkWcQAo6OA,610000,1008300,45.0,54.0,6.693136698808851,17.52694271128758,23.76630743051617,29.665343165059564,17.64038570618265,2.609188882586501,2.0986954055587073
[햄지]Hamzy,https://www.youtube.com/channel/UCPKNKldggioffXPkSmjs5lQ,14100000,1000514,55.0,44.0,0.7369614512471656,6.575963718820862,20.804988662131517,22.05215419501134,22.73242630385488,17.063492063492063,10.034013605442178
하뉴,https://www.youtube.com/channel/UCs4oAFxhxxVhtW-_ApKtkLQ,755000,990277,39.0,60.0,,,,,,,
와썹맨-Wassup Man,https://www.youtube.com/channel/UCYgUhR7EGKauFXgJS0pckGg,1890000,975330,30.0,69.0,2.0159151193633953,14.37665782493369,35.75596816976127,24.29708222811671,18.249336870026525,4.190981432360743,1.1140583554376657
해외쇼쇼,https://www.youtube.com/channel/UCYelgCc7lyQb8KKufzcf60A,25400,960871,21.0,78.0,4.385517593064763,19.938806731259557,36.46098929117797,20.499745028046913,14.686384497705252,3.059663437021927,0.9688934217236103
한스 HANS,https://www.youtube.com/channel/UCNIam-lUt69PyGWFDRYUuzA,502000,952020,22.0,77.0,4.6914839367669545,21.009688934217234,37.021927587965315,20.040795512493624,13.513513513513512,2.753697093319735,0.9688934217236103
푸드킹덤 Food Kingdom,https://www.youtube.com/channel/UC4BfinFCS1o6t1tAsl0RVWQ,5310000,927547,59.0,40.0,0.4517221908526256,3.387916431394692,14.17278373800113,19.932241671372104,26.256352343308865,23.48955392433653,12.309429700734048
예쁜남자Prettyman,https://www.youtube.com/channel/UCDX7VErirWPVNyu-HkFCbyQ,916000,917757,49.0,50.0,5.728643216080402,17.68844221105528,32.8643216080402,25.32663316582915,13.5678391959799,3.1155778894472363,1.7085427135678393
밥밥밥,https://www.youtube.com/channel/UC1bjJxxa0wcExrIzbQq175A,7860,914357,15.6,84.39999999999999,1.0,8.5,22.9,27.7,25.799999999999997,10.4,3.7
